username, created_at, lng, lat, text
ClayWakeman, Sat Jan 30 03:36:06 +0000 2021, -116.931737, 44.075704, No skill Ngannou doesn’t have a god damn thing on the heavyweight 🐐. It’s baffling to see how many people are takin… https://t.co/LGZhvOqdK5 
ReelTalker, Sat Jan 30 03:36:07 +0000 2021, -73.948775, 40.655138, @elenawonders Lol 
DeafITT08, Sat Jan 30 03:36:07 +0000 2021, -79.980689, 40.431389, @WWENXT @WWEEmberMoon @ShotziWWE Good job! 
EverySF311Bike, Sat Jan 30 03:36:07 +0000 2021, -122.434309, 37.763276, 2360 Market StCar parked in bike laneLicense Plate: Unknownhttps://t.co/T6etdwAspZ2021-01-29 19:34:49 https://t.co/6z7n3x0Ij0 
madisonbatts, Sat Jan 30 03:36:07 +0000 2021, -84.433106, 33.767195, I bet a nickel MTG will be the new Speaker, and @GOPLeader will still be trying to figure out what happened while i… https://t.co/49njV3slBo 
AngelGutie3, Sat Jan 30 03:36:07 +0000 2021, -100.076888, 31.168893, First to a 💯 @MaddySkye #GoSpursGo 
HexHernandez, Sat Jan 30 03:36:07 +0000 2021, -87.732013, 41.833585, I'm tired of trying to keep up.@CTULocal1 good luck. ♥️ You and your students deserve what you're asking for. 
txkimberco, Sat Jan 30 03:36:07 +0000 2021, -96.961483, 32.863917, @KFILE She’s beautiful 
jazzygirl081, Sat Jan 30 03:36:07 +0000 2021, -117.104989, 32.810012, Its just dad 8n the back wuth a red cup of beer in his hand swayed get the door or sonething 
tkdylan, Sat Jan 30 03:36:07 +0000 2021, -73.948775, 40.655138, @RMillennielle At least this means the virus is over soon, though, right? 
karensheebasyke, Sat Jan 30 03:36:08 +0000 2021, -149.758794, 61.235042, @AlisonG71152453 @kathedden @mtgreenee Bot 
MarleyRosario2, Sat Jan 30 03:36:08 +0000 2021, -78.853563, 42.896230, @LaShaeThrower Come on.. it’s a gangsta party lol 
Emilnem, Sat Jan 30 03:36:08 +0000 2021, -88.161555, 30.683649, I feel like disgusting sexual jokes made when women in this industry are just trying to post their hard work and ea… https://t.co/2phjwFMh8u 
LittleVodkaOwl, Sat Jan 30 03:36:08 +0000 2021, -105.550890, 38.997936, Can't, doing hot girl shit!*slides into bed at 8:35PM to read a book while cat curls up next to me. 
